Name,Slug,City/Town,County,Postcode,Full Address,Latitude,Longitude,Website,Facebook,Instagram,Description,Practice,Lessons,Competitions,Practice Notes,Lesson Notes,Competition Notes,Events URL
Ashcombe Shooting Ground,ashcombe-shooting-ground,Ashcombe,Devon,EX7 0QD,"Colley Lane, Ashcombe, Devon, EX7 0QD",50.59599,-3.5370089,https://www.ashcombeshootingground.co.uk,https://www.facebook.com/ashcombeshootingground,https://www.instagram.com/ashcombeshootinggroundasg/,"Ashcombe Shooting Ground, nestled in the picturesque Ashcombe Estate near Dawlish, Devon, is the South West’s premier clay‑shooting destination, with over 30 years of heritage and recent reinvestment under the Sportsman Gun Centre group. The ground boasts an extensive layout featuring high‑tower, sporting and skeet ranges supported by more than 100 automatic traps offering varied presentations from battue to midi targets. Practice shooting is available Wednesday through Saturday (9:30 am-5 pm), and Sunday (10 am–3 pm) with no prior booking required for licence‑holders - just turn up and shoot. The venue also hosts a range of competitions - including Registered English Sporting, Supersporting 100‑target events, and the Browning Sporting Masters - and welcomes novice to advanced shooters alike. Professional one‑on‑one lessons, corporate packages, gun hire, and cartridges are available onsite, along with on‑site catering and a friendly, instructional environment for beginners.",y,y,y,,,,"[""https://www.ashcombeshootingground.co.uk/book-competitions"", ""https://www.ashcombeshootingground.co.uk/browning-sporting-masters-120"", ""https://www.ashcombeshootingground.co.uk/copy-of-browning-sporting-masters""]"
Landare Shooting Ground,landare-shooting-ground,Liskeard,Cornwall,PL14 4QD,Landare Farm Duloe Liskeard Cornwall PL14 4QD,50.4004848,-4.5319686,,https://www.facebook.com/groups/680125975336771,,,n,n,y,,,,
High View Clay Shoot,high-view-clay-shoot,Launceston,Cornwall,PL15 8NR,"Beardon Barton, Boyton, Launceston. PL15 8NR",50.7151161,-4.4076281,https://www.highviewclayshoot.co.uk/,https://www.facebook.com/www.highviewclayshoot.co.uk,,,n,n,y,,,Comps run every 2 weeks. Check FB for the fixtures,"[""https://www.highviewclayshoot.co.uk/fixtures/""]"
Cart Ridge,cart-ridge-shooting-ground,Saltash,Cornwall,PL12 5AB,"Tredinnick Farm, Saltash, Cornwall, PL12 5AB",50.413385,-4.3097299,https://www.cart-ridge.co.uk,https://www.facebook.com/groups/202659073153721,,,n,n,y,,,,
Sky High Shooting Ground,sky-high-shooting-ground,Holsworthy,Cornwall,EX22 7YB,"Stadson Farm, Brandis Corner, Holsworthy EX22 7YB",50.8195054,-4.2250958,,https://www.facebook.com/groups/2174985292652450,,,n,n,y,,,,
Lowerlake Shooting Ground,lowerlake-shooting-ground,Liskeard,Cornwall,PL14 5BQ,"Upton Cross, Liskeard, Cornwall. PL14 5BQ",50.5372592,-4.4249939,https://www.shootingincornwall.co.uk,https://www.facebook.com/shootingincornwall,,,y,y,n,100 bird sporting practice on Wednesdays from April-September,,,
Newnham Park,newham-park,Plymouth,Devon,PL7 5BN,"Newnham Park, Plympton, Plymouth, Devon. PL7 5BN",50.4028831,-4.03825,https://newnham.co.uk,,,,n,y,n,,,,
Eastway Clay Shoot,eastway-clay-shoot,Tiverton,Devon,EX16 8NP,"Eastway Farm, Witheridge EX16 8NP",50.9110387,-3.6737446,,https://www.facebook.com/eastwayclayshoot,,,n,n,y,,,Clay shoots are the first full weekend each month,
Mount Hawke Gun Club,mount-hawke-gun-club,St Agnes,Cornwall,TR4 8BX,"Mingoose, Mingoose, Cornwall, TR4 8BX",50.29422,-5.21514,,https://www.facebook.com/groups/3228327273879366,,,n,n,y,,,Last Saturday of the month,
EJ Churchill,ej-churchill,High Wycombe,Buckinghamshire,HP14 3NS,"Park Lane, Lane End, Stokenchurch, High Wycombe HP14 3NS",51.6217192,-0.8221804,https://www.ejchurchill.com,https://www.facebook.com/ejchurchill,https://www.instagram.com/ejchurchill,,y,y,y,,,,
Bisley Shooting Ground,bisley-shooting-ground,Woking,Surrey,GU24 0NY,"Bisley Camp, Woking, GU24 0NY",51.31155323,-0.65596696,https://www.bisleyshooting.com,https://www.facebook.com/bisleyshooting,https://www.instagram.com/bisley_shooting/,,y,y,y,,,,
Ian Coley Sporting,ian-coley-sporting,Cheltenham,Gloucestershire,GL54 4AX,"Nr. Andoversford, CHELTENHAM, Gloucestershire, GL54 4AX",51.8577293,-2.0310567,https://www.iancoley.co.uk,https://www.facebook.com/iancoleysporting,https://www.instagram.com/iancoleysporting/,,y,y,y,,,Registered sporting on the first Wednesday of each month,
Barbury Shooting School,barbury-shooting-ground,Swindon,Wiltshire,SN4 0QH,"Nr. Barbury Castle, Wroughton, Swindon, SN4 0QH",51.4831968,-1.774094933,https://www.barburyshootingschool.com,https://www.facebook.com/Barburyshoot,https://www.instagram.com/barburyshooting,,y,y,y,,,,
Eaton Hall Shooting Ground,eaton-hall-shooting-ground,Ashbourne,Derbyshire,DE6 5LN,"Upwoods Road, Doveridge, Ashbourne, Derbyshire, DE6 5LN",52.9218745,-1.84225493,https://eaton-hall.com,https://www.facebook.com/profile.php?id=100063583930617,https://www.instagram.com/eatonhall_/,,y,y,y,,,,
North Devon Shooting Ground,north-devon-shooting-ground,Ilfracombe,Devon,EX34 9RG,"Ettiford Farm, Ilfracombe EX34 9RG",51.1806544,-4.0931802,https://www.northdevonshootingground.co.uk,https://www.facebook.com/NorthDevonSG/,,,n,y,n,,,,
